ts,latitude,longitude
1728047202000000000,52.3516149,4.8861259
1728047203000000000,52.3516151,4.8861253
1728047204000000000,52.3516155,4.8861256
1728047205000000000,52.3516155,4.8861255
1728047206000000000,52.3516157,4.8861255
1728047207000000000,52.3516155,4.8861254
1728047208000000000,52.3516155,4.8861254
1728047209000000000,52.3516156,4.8861254
1728047210000000000,52.3516154,4.8861249
1728047211000000000,52.3516153,4.886124
1728047212000000000,52.351615,4.8861224
1728047213000000000,52.351615,4.8861218
1728047214000000000,52.3516144,4.8861207
1728047215000000000,52.3516139,4.8861194
1728047216000000000,52.3516138,4.8861193
1728047217000000000,52.3516134,4.886119
1728047218000000000,52.3516131,4.8861188
1728047219000000000,52.3516131,4.8861187
1728047220000000000,52.3516128,4.8861187
1728047221000000000,52.3516121,4.8861186
1728047222000000000,52.3516118,4.8861187
1728047223000000000,52.3516118,4.8861191
1728047224000000000,52.3516119,4.88612
1728047225000000000,52.351612,4.8861203
1728047226000000000,52.3516123,4.886121
1728047227000000000,52.3516125,4.8861215
1728047228000000000,52.3516125,4.8861224
1728047229000000000,52.3516124,4.8861227
1728047230000000000,52.3516124,4.8861232
1728047231000000000,52.3516123,4.8861232
1728047232000000000,52.3516123,4.8861231
1728047233000000000,52.3516123,4.8861233
1728047234000000000,52.3516125,4.8861241
1728047235000000000,52.3516127,4.886125
1728047236000000000,52.3516129,4.8861256
1728047237000000000,52.3516129,4.8861263
1728047238000000000,52.351613,4.886127
1728047239000000000,52.3516132,4.8861273
1728047240000000000,52.3516135,4.8861276
1728047241000000000,52.3516136,4.8861279
1728047242000000000,52.3516139,4.8861289
1728047243000000000,52.3516139,4.88613
1728047244000000000,52.3516145,4.8861316
1728047245000000000,52.3516147,4.8861317
1728047246000000000,52.3516149,4.8861315
1728047247000000000,52.3516147,4.8861309
1728047248000000000,52.3516148,4.8861305
1728047249000000000,52.3516144,4.8861294
1728047250000000000,52.3516142,4.8861289
1728047251000000000,52.3516136,4.8861277
1728047252000000000,52.3516136,4.8861278
1728047253000000000,52.3516136,4.886128
1728047254000000000,52.3516139,4.8861279
1728047255000000000,52.3516142,4.886128
1728047256000000000,52.3516147,4.8861285
1728047257000000000,52.3516153,4.8861303
1728047258000000000,52.3516158,4.8861319
1728047259000000000,52.3516158,4.8861321
1728047260000000000,52.3516161,4.8861331
1728047261000000000,52.3516159,4.8861325
1728047262000000000,52.351616,4.886133
1728047263000000000,52.3516163,4.8861333
1728047264000000000,52.3516163,4.886134
1728047265000000000,52.3516161,4.886134
1728047266000000000,52.3516161,4.8861341
1728047267000000000,52.3516164,4.8861342
1728047268000000000,52.3516161,4.8861342
1728047269000000000,52.351616,4.8861339
1728047270000000000,52.3516157,4.8861332
1728047271000000000,52.3516157,4.8861335
1728047272000000000,52.3516159,4.8861335
1728047273000000000,52.3516159,4.8861334
1728047274000000000,52.3516163,4.8861335
1728047275000000000,52.3516168,4.8861331
1728047276000000000,52.3516171,4.8861332
1728047277000000000,52.3516174,4.8861339
1728047278000000000,52.3516182,4.8861355
1728047279000000000,52.3516188,4.886137
1728047280000000000,52.3516193,4.8861388
1728047281000000000,52.3516199,4.8861411
1728047282000000000,52.3516206,4.8861435
1728047283000000000,52.3516211,4.8861462
1728047284000000000,52.3516214,4.8861481
